"family","purpose","source","privacy_level","n_features","feature_examples","n_features_with_na","max_pct_na"
"Calendario y festivos","Frecuencia y respuesta relativa ante fines de semana, puentes y festivos por ambito.","daily_with_climate.parquet","public_calendar_plus_consumption_aggregate",10,"holiday_ratio, national_holiday_ratio, regional_local_holiday_ratio, bridge_ratio, holiday_nonholiday_ratio, national_holiday_nonholiday_ratio, regional_local_holiday_nonholiday_ratio, holiday_regional_to_national_ratio, ...",4,3.7
"Calidad y outliers","Control de lecturas extremas sostenidas para interpretar la matriz.","parquet horario","pseudonymous_quality_aggregate",3,"n_extreme_hourly, pct_extreme_hourly, has_sustained_extreme",0,0
"Comportamiento mensual","Concentracion mensual y contraste verano-invierno.","daily_consumption.parquet","pseudonymous_consumption_aggregate",6,"months_observed, max_month_share, monthly_entropy, summer_winter_ratio, summer_share, winter_share",4,1.4
"Contexto territorial agregado","Variables provinciales externas, agregadas y justificables; no personales.","data/external/province_context.csv","provincial_aggregate_no_personal_data",5,"ccaa, coastal_flag, density_bucket, climate_zone, goiener_core_region",0,0
"Identificacion y alcance","Clave tecnica y provincia de modelado; no se usa para definir distancia de clustering.","metadata.parquet","pseudonymous_internal_id",2,"user_id, cod_provincia",0,0
"Metadata contractual","Senales contractuales usadas para filtrar y describir uso residencial.","metadata.parquet","contract_metadata_minimized",5,"tarifa_clean, p1_kw, cnae, is_residential_strict, is_residential_permissive",1,0.1
"Nivel, cobertura y variabilidad","Magnitud, dispersion y continuidad temporal de la serie diaria.","daily_consumption.parquet","pseudonymous_consumption_aggregate",13,"mean_daily_kWh, sd_daily_kWh, median_daily_kWh, p90_daily_kWh, total_kWh, active_days, first_date, last_date, ...",2,0.4
"Perfil horario normalizado","Forma intradiaria del consumo, normalizada por la media del usuario.","user_hourly_profile.parquet","pseudonymous_consumption_aggregate",24,"norm_h00, norm_h01, norm_h10, norm_h11, norm_h12, norm_h13, norm_h14, norm_h15, ...",0,0
"Periodos tarifarios 2.0TD","Distribucion del consumo reconstruida por periodos valle, llano y punta.","user_dow_type_profile.parquet","pseudonymous_consumption_aggregate",7,"valley_kWh_week, flat_kWh_week, peak_kWh_week, valley_share, flat_share, peak_share, peak_to_valley_ratio",4,0.5
"Proxies exploratorios","Indicadores derivados para revision analitica, no etiquetas verificadas.","features derivadas","pseudonymous_consumption_aggregate",2,"possible_intermittent_home, proxy_autoconsumption_second_home",1,0.3
"Ratios de comportamiento","Patrones relativos de uso horario, semanal y estacional.","perfiles agregados de consumo","pseudonymous_consumption_aggregate",15,"ratio_night_day, ratio_weekend_weekday, morning_kWh_share, afternoon_kWh_share, evening_kWh_share, night_kWh_share, ratio_morning_afternoon, ratio_evening_morning, ...",11,0.4
"Sensibilidad climatica","Relacion exploratoria entre consumo diario y demanda termica.","daily_with_climate.parquet","public_weather_plus_consumption_aggregate",5,"corr_hdd, corr_cdd, corr_tmed, mean_hdd, mean_cdd",5,3.2
