"cluster","cluster_label","question_id","business_question","evidence_strength","cluster_evidence","recommended_conclusion","question_caveat","is_primary_question"
0,"no_habitual","Q01","Que segmentos sostienen la demanda base?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",TRUE
0,"no_habitual","Q02","Que segmentos concentran riesgo de punta?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",FALSE
0,"no_habitual","Q03","Que segmentos son sensibles al frio?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",FALSE
0,"no_habitual","Q04","Que segmentos muestran baja ocupacion?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",FALSE
0,"no_habitual","Q05","Que segmentos requieren lectura social cautelosa?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",FALSE
0,"no_habitual","Q06","Que segmentos deben entrar en forecasting operativo?","Contextual","Mediana 0.44 kWh/d, dias bajos 76.8%, dias cero 27.2%, riesgo alto 64.2%.","Priorizar lectura vivienda_no_habitual para no_habitual","Validar antes de acciones individuales.",FALSE
1,"C1","Q01","Que segmentos sostienen la demanda base?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",TRUE
1,"C1","Q02","Que segmentos concentran riesgo de punta?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",FALSE
1,"C1","Q03","Que segmentos son sensibles al frio?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",FALSE
1,"C1","Q04","Que segmentos muestran baja ocupacion?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",FALSE
1,"C1","Q05","Que segmentos requieren lectura social cautelosa?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",FALSE
1,"C1","Q06","Que segmentos deben entrar en forecasting operativo?","Alta","Punta 47.3%, valle 22.5%, tarde 39.3%, fin_semana/laborable 0.40, P1 mediana 5.0 kW.","Priorizar lectura flexibilidad_punta_laboral para C1","Validar antes de acciones individuales.",FALSE
